Id,Date,University,Degree,Country,City,Do you understand that this is a paid course ?...3,Course Fee Email,Payment,Payment Receipt Sent,How did you hear about this course?,Gender,Age,Are you currently attending University / College?,Have you taken any foundational course in data science / econometrics / statistics / computer science?,"What programming language(s) are you most comfortable in (R, Python, Java, JS, etc.)? If none please type ""None"".",Prior Work Experience in Data Science or Machine Learning,Primary Reason for taking this course?,Do you understand that this is a paid course ?...21,"Prior Formal Education (course teaching or using R, university assignments, coding projects, course work, etc.) in R?","Prior Formal Education (course teaching or using Python, university assignments, coding projects, course work, etc.) in Python?",Prior Work Experience in R.,Prior Work Experience in Python.,"Personal Education or Knowledge (learning R on your own and/or doing personal projects, etc.) in R?",Do you have a LinkedIn Account?,"Do you have any feedback, thoughts, or comments you would like to share?",Latest Degree Completed or in Progress?
67,8/22/2022,IBA,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,21,Yes,Statisitics,Python,Beginner (0 Years),Wanna Perue a career in somewhat intersection of data science and finance,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,No,Bachelors
68,8/22/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,26,No,Computer Science,.NET CORE,Intermediate (2-3 Years),IMPROVE SKILLS,No,Beginner (0 Years),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Beginner (0 Years),NONE,NA,Bachelors
69,8/22/2022,SMIU,BS in AI,Pakistan,Karachi,Yes,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Female,21,Yes,Data Science,Python,Learner (1 Year or Less),To explore and to learn new thing because my aim is to become a best Data scientist,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,I am very passionate about my field and right now i want this opportunity so that i can learn new things.,Bachelors
70,8/22/2022,IBA,Economics,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Female,25,No,All of them,Python,Learner (1 Year or Less),To furnish the skills,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),TRUE,No paid,Bachelors
71,8/22/2022,University of Central Punjab,Compute Science,Pakistan,Lahore,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,No,Computer Science,"Python, Java, PHP, C++",Learner (1 Year or Less),Want To Explore New Things In Data Sciences,Yes,Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),TRUE,NA,Bachelors
72,8/22/2022,Superior University,Compute Science,Pakistan,Lahore,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,No,Computer Science,JS,Beginner (0 Years),To get a good job.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
73,8/22/2022,NED,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,24,No,All of them,"Python, PL/SQL",Learner (1 Year or Less),Want to enhance my skillsets more towards data science,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,I wants to make my identity in data science industry by opting this opportunity.,Bachelors
74,8/22/2022,IQRA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,26,Yes,Data Science,pythob,Beginner (0 Years),i have a interest,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),TRUE,none,Bachelors
75,8/22/2022,IQRA,Incomplete Infromation,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,24,No,Computer Science,Python,Beginner (0 Years),I want to learn,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),TRUE,No,Bachelors
76,8/22/2022,GCU Lahore,BS,Pakistan,Lahore,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Data Science,C++ and Python,Beginner (0 Years),To get hands on training from professionals,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Nil,Bachelors
